Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,LONG,VERCRUYSSE,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,M,LONG,THOMAIN,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,, ,MEDIUM,,NON,H,LONG,RAFFIN,VINCENNES,1 JANVIER 2014
NON,NON,NON, ,OUI, ,MEDIUM,NON,NON,H,LONG,LOCQUENAUX,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,NON, ,MEDIUM,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,NON, ,MEDIUM,NON,OUI,F,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,OUI,F,LONG,BIGEON,VINCENNES,1 JANVIER 2014
OUI,NON,OUI, ,OUI, ,MEDIUM,NON,OUI,F,LONG,THOMAIN,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,OUI,F,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,NON, ,MEDIUM,NON,OUI,F,LONG,,VINCENNES,1 JANVIER 2014
OUI,NON,NON, ,, ,JEUNE,,OUI,F,LONG,DERIEUX,VINCENNES,1 JANVIER 2014
OUI,NON,NON, ,NON, ,JEUNE,NON,OUI,F,LONG,BIGEON,VINCENNES,1 JANVIER 2014
NON,NON,NON, ,, ,JEUNE,,OUI,F,LONG,,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,, ,JEUNE,,OUI,F,LONG,NIVARD,VINCENNES,1 JANVIER 2014
NON,NON,NON, ,NON, ,JEUNE,NON,OUI,F,LONG,DUBOIS,VINCENNES,1 JANVIER 2014
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,VERCRUYSSE,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,BIGEON,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,F,COURT,THOMAIN,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,LEVESQUE,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,OUI, ,MEDIUM,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,F,LONG,,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,LONG,ABRIVARD,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,MEDIUM,OUI,OUI,H,LONG,,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,MEDIUM,OUI,OUI,H,LONG,,VINCENNES,1 JANVIER 2015
NON,OUI,OUI,NON,,NON,MEDIUM,,NON,F,COURT,ABRIVARD,VINCENNES,1 JANVIER 2016
OUI,OUI,NON,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,NIVARD,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,OUI,,NON,MEDIUM,,NON,F,COURT,OUVRIE,VINCENNES,1 JANVIER 2016
NON,OUI,NON,OUI,NON,NON,MEDIUM,NON,NON,M,COURT,LEVESQUE,VINCENNES,1 JANVIER 2016
