Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI, ,OUI, ,6,NON,NON,F, 2700,VERCRUYSSE,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,6,NON,NON,F, 2700,BIGEON,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,6,NON,NON,F, 2700,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,NON, ,6,NON,NON,F, 2700,THOMAIN,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,6,NON,NON,F, 2700,LEVESQUE,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,OUI, ,8,NON,NON,H, 2850,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,NON, ,8,NON,NON,F, 2850,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,8,NON,NON,H, 2850,ABRIVARD,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,8,OUI,OUI,H, 2850,AUTRES,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,7,OUI,OUI,H, 2850,AUTRES,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,OUI, ,4,NON,NON,F, 2700,DREUX,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,OUI, ,4,NON,NON,F, 2700,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,4,NON,NON,F, 2700,LEVESQUE,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,4,NON,NON,F, 2700,BAZIRE,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,4,NON,NON,F, 2700,VERCRUYSSE,VINCENNES,1 JANVIER 2015
OUI,OUI,OUI, ,NON, ,5,NON,NON,F, 2100,AUTRES,VINCENNES,1 JANVIER 2015
NON,OUI,OUI, ,OUI, ,6,NON,NON,F, 2100,OUVRIE,VINCENNES,1 JANVIER 2015
NON,OUI,NON, ,NON, ,6,OUI,NON,M, 2100,VERCRUYSSE,VINCENNES,1 JANVIER 2015
NON,OUI,OUI, ,NON, ,6,NON,NON,M, 2100,NIVARD,VINCENNES,1 JANVIER 2015
NON,OUI,NON, ,OUI, ,6,NON,NON,F, 2100,BIGEON,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,5,NON,NON,H, 2700,BIGEON,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,NON, ,5,NON,NON,H, 2700,BAZIRE,VINCENNES,1 JANVIER 2015
NON,NON,OUI, ,OUI, ,5,OUI,NON,H, 2700,AUTRES,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,NON, ,5,NON,NON,M, 2700,AUTRES,VINCENNES,1 JANVIER 2015
OUI,NON,OUI, ,OUI, ,5,NON,NON,H, 2700,ABRIVARD,VINCENNES,1 JANVIER 2015
NON,NON,NON, ,NON, ,3,NON,NON,M, 2200,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,NON, ,NON, ,3,NON,NON,M, 2200,NIVARD,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,OUI, ,3,NON,NON,M, 2200,AUTRES,VINCENNES,1 JANVIER 2015
OUI,NON,NON, ,NON, ,3,NON,NON,M, 2200,AUTRES,VINCENNES,1 JANVIER 2015
NON,NON,NON, ,NON, ,3,NON,NON,M, 2200,AUTRES,VINCENNES,1 JANVIER 2015
NON,OUI,OUI,NON,NON,NON,6,NON,NON,F, 2100,ABRIVARD,VINCENNES,1 JANVIER 2016
OUI,OUI,NON,NON,NON,OUI,6,NON,NON,H, 2100,NIVARD,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,OUI,NON,NON,6,NON,NON,F, 2100,OUVRIE,VINCENNES,1 JANVIER 2016
NON,OUI,NON,OUI,NON,NON,6,NON,NON,M, 2100,LEVESQUE,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,NON,OUI,OUI,6,NON,NON,H, 2100,VERVA,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,NON,OUI,NON,7,OUI,NON,H, 2850,THOMAIN,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,OUI,NON,NON,7,NON,OUI,F, 2850,DREUX,VINCENNES,1 JANVIER 2016
NON,NON,NON,NON,NON,OUI,8,NON,OUI,H, 2850,AUTRES,VINCENNES,1 JANVIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2850,VERCRUYSSE,VINCENNES,1 JANVIER 2016
OUI,NON,NON,NON,NON,OUI,7,NON,OUI,M, 2850,AUTRES,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,OUI,NON,6,NON,NON,F, 2700,OUVRIE,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,BAZIRE,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,1 JANVIER 2016
NON,NON,NON,NON,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,1 JANVIER 2016
OUI,NON,NON,OUI,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,1 JANVIER 2016
NON,NON,NON,NON,NON,OUI,5,NON,NON,H, 2700,AUTRES,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,OUI,NON,5,NON,NON,H, 2700,RAFFIN,VINCENNES,1 JANVIER 2016
